TARGET_INFO_DAMAGE	Atac: %s - %s
TARGET_INFO_DEFENSE	Apãrare: %s
TARGET_INFO_EXP	Experienþã: %s
TARGET_INFO_MAINRACE	Rasã: %s
TARGET_INFO_MAX_HP	Viaþã: %s
TARGET_INFO_NO_ITEM_TEXT	Niciun obiect dropabil.
TARGET_INFO_NO_RACE	niciuna
TARGET_INFO_RACE_METIN	piatrã
TARGET_INFO_RACE_ANIMAL	animal
TARGET_INFO_RACE_DARK	întuneric
TARGET_INFO_RACE_DEVIL	diavol
TARGET_INFO_RACE_EARTH	pãmânt
TARGET_INFO_RACE_ELEC	fulger 
TARGET_INFO_RACE_FIRE	foc
TARGET_INFO_RACE_HUMAN	semi-om
TARGET_INFO_RACE_ICE	gheaþã
TARGET_INFO_RACE_MILGYO	malefic 
TARGET_INFO_RACE_ORC	orc
TARGET_INFO_RACE_UNDEAD	nemuritor
TARGET_INFO_RACE_WIND	vânt
TARGET_INFO_STONE_NAME	Piatrã
TARGET_INFO_SUBRACE	Subspecii: %s
EMPIRE_COUNT	Populaþie: %d / %d jucãtori
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greºealã de atac necunoscutã: %s
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poþi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poþi schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poþi deschide magazinul într-un spaþiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Am nevoie de o undiþã.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
CANNOT_SKILL_NEED_TARGET	Care este þinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
